% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 92.66    0.011812        3937         3           wait4
  1.69    0.000216           4        57        25 stat
  1.64    0.000209           4        49        32 access
  1.19    0.000152          51         3           vfork
  0.85    0.000108           6        19        12 openat
  0.75    0.000095           4        24           lstat
  0.23    0.000029           4         8           readlink
  0.20    0.000026           3         9           rt_sigaction
  0.20    0.000026           9         3           unlink
  0.13    0.000017           2         7           close
  0.09    0.000011           4         3           getpid
  0.08    0.000010           3         3           ioctl
  0.06    0.000008           3         3           read
  0.05    0.000007           4         2           getcwd
  0.05    0.000006           2         4           fstat
  0.05    0.000006           3         2           prlimit64
  0.04    0.000005           1         6           mmap
  0.03    0.000004           1         4           brk
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
------ ----------- ----------- --------- --------- ----------------
100.00    0.012747                   216        69 total
